Manual_Feature,Rank,Interm,Correlation
Elongation_L1,1,interm_139,0.6489
Elongation_L1,2,interm_168,-0.6395
Elongation_L1,3,interm_246,-0.6165
Elongation_L1,4,interm_208,-0.6148
Elongation_L1,5,interm_11,-0.6107
Elongation_L2,1,interm_252,-0.5069
Elongation_L2,2,interm_144,-0.4942
Elongation_L2,3,interm_141,0.4846
Elongation_L2,4,interm_251,0.4743
Elongation_L2,5,interm_28,0.4732
Elongation_L3,1,interm_95,0.5882
Elongation_L3,2,interm_165,-0.5841
Elongation_L3,3,interm_144,-0.5822
Elongation_L3,4,interm_36,-0.5694
Elongation_L3,5,interm_31,0.5596
area_L1,1,interm_138,0.5753
area_L1,2,interm_24,0.5363
area_L1,3,interm_186,0.4955
area_L1,4,interm_141,0.4899
area_L1,5,interm_163,0.4859
area_L2,1,interm_215,0.5554
area_L2,2,interm_48,0.523
area_L2,3,interm_185,0.5211
area_L2,4,interm_89,0.4911
area_L2,5,interm_180,0.4886
area_L3,1,interm_9,0.8269
area_L3,2,interm_117,0.8156
area_L3,3,interm_65,0.8033
area_L3,4,interm_224,0.793
area_L3,5,interm_123,0.7926
centroid_radius_L1,1,interm_24,0.6126
centroid_radius_L1,2,interm_138,0.6019
centroid_radius_L1,3,interm_170,0.5335
centroid_radius_L1,4,interm_186,0.5185
centroid_radius_L1,5,interm_183,0.5169
centroid_radius_L2,1,interm_96,0.6782
centroid_radius_L2,2,interm_55,0.6636
centroid_radius_L2,3,interm_44,0.6632
centroid_radius_L2,4,interm_9,0.641
centroid_radius_L2,5,interm_5,0.639
centroid_radius_L3,1,interm_65,0.8669
centroid_radius_L3,2,interm_117,0.8658
centroid_radius_L3,3,interm_9,0.8628
centroid_radius_L3,4,interm_164,0.8494
centroid_radius_L3,5,interm_173,0.8492
circularity_L1,1,interm_36,-0.5487
circularity_L1,2,interm_156,0.541
circularity_L1,3,interm_165,-0.5407
circularity_L1,4,interm_122,-0.5402
circularity_L1,5,interm_232,-0.5329
circularity_L2,1,interm_169,0.9428
circularity_L2,2,interm_45,0.9374
circularity_L2,3,interm_19,0.9362
circularity_L2,4,interm_61,0.9184
circularity_L2,5,interm_68,-0.9108
circularity_L3,1,interm_106,-0.6769
circularity_L3,2,interm_61,0.6431
circularity_L3,3,interm_169,0.6411
circularity_L3,4,interm_115,-0.6295
circularity_L3,5,interm_182,0.625
convexity_L1,1,interm_156,0.6006
convexity_L1,2,interm_232,-0.5915
convexity_L1,3,interm_26,-0.5862
convexity_L1,4,interm_122,-0.5815
convexity_L1,5,interm_139,-0.5809
convexity_L2,1,interm_61,0.9423
convexity_L2,2,interm_68,-0.9301
convexity_L2,3,interm_134,-0.9293
convexity_L2,4,interm_169,0.9157
convexity_L2,5,interm_244,-0.9138
convexity_L3,1,interm_65,0.7726
convexity_L3,2,interm_117,0.7387
convexity_L3,3,interm_13,0.7355
convexity_L3,4,interm_173,0.7337
convexity_L3,5,interm_164,0.7324
curvature_L1,1,interm_24,-0.4517
curvature_L1,2,interm_207,-0.4262
curvature_L1,3,interm_183,-0.4175
curvature_L1,4,interm_170,-0.4157
curvature_L1,5,interm_126,-0.414
curvature_L2,1,interm_242,0.3373
curvature_L2,2,interm_139,-0.296
curvature_L2,3,interm_102,0.2951
curvature_L2,4,interm_193,0.2949
curvature_L2,5,interm_107,-0.2948
curvature_L3,1,interm_228,0.5346
curvature_L3,2,interm_208,0.4921
curvature_L3,3,interm_13,-0.4773
curvature_L3,4,interm_149,-0.4729
curvature_L3,5,interm_81,0.4668
eccentricity_L1,1,interm_218,-0.7357
eccentricity_L1,2,interm_70,-0.719
eccentricity_L1,3,interm_43,-0.7169
eccentricity_L1,4,interm_139,0.7142
eccentricity_L1,5,interm_246,-0.705
eccentricity_L2,1,interm_252,-0.4794
eccentricity_L2,2,interm_144,-0.4759
eccentricity_L2,3,interm_21,0.457
eccentricity_L2,4,interm_141,0.4457
eccentricity_L2,5,interm_107,-0.437
eccentricity_L3,1,interm_36,-0.5993
eccentricity_L3,2,interm_165,-0.5938
eccentricity_L3,3,interm_144,-0.593
eccentricity_L3,4,interm_95,0.5852
eccentricity_L3,5,interm_92,-0.565
max_distance_L1,1,interm_224,0.3778
max_distance_L1,2,interm_253,0.3684
max_distance_L1,3,interm_159,0.3577
max_distance_L1,4,interm_9,0.3551
max_distance_L1,5,interm_12,0.3521
max_distance_L2,1,interm_96,0.6351
max_distance_L2,2,interm_9,0.6216
max_distance_L2,3,interm_55,0.6212
max_distance_L2,4,interm_44,0.62
max_distance_L2,5,interm_149,0.6013
max_distance_L3,1,interm_65,0.8505
max_distance_L3,2,interm_117,0.847
max_distance_L3,3,interm_9,0.8454
max_distance_L3,4,interm_173,0.8333
max_distance_L3,5,interm_164,0.8309
min_distance_L1,1,interm_26,-0.2825
min_distance_L1,2,interm_239,-0.2816
min_distance_L1,3,interm_141,0.2767
min_distance_L1,4,interm_46,0.2751
min_distance_L1,5,interm_70,0.2729
min_distance_L2,1,interm_96,0.6942
min_distance_L2,2,interm_55,0.6824
min_distance_L2,3,interm_44,0.6815
min_distance_L2,4,interm_5,0.6594
min_distance_L2,5,interm_9,0.6474
min_distance_L3,1,interm_117,0.8748
min_distance_L3,2,interm_65,0.8745
min_distance_L3,3,interm_9,0.8681
min_distance_L3,4,interm_164,0.8582
min_distance_L3,5,interm_173,0.8567
perimeter_L1,1,interm_24,0.5844
perimeter_L1,2,interm_138,0.5497
perimeter_L1,3,interm_170,0.5253
perimeter_L1,4,interm_253,0.5173
perimeter_L1,5,interm_155,0.4921
perimeter_L2,1,interm_9,0.7794
perimeter_L2,2,interm_65,0.7279
perimeter_L2,3,interm_149,0.7272
perimeter_L2,4,interm_117,0.7271
perimeter_L2,5,interm_13,0.7218
perimeter_L3,1,interm_65,0.863
perimeter_L3,2,interm_117,0.8617
perimeter_L3,3,interm_9,0.86
perimeter_L3,4,interm_173,0.8459
perimeter_L3,5,interm_164,0.845
solidity_L1,1,interm_156,0.6006
solidity_L1,2,interm_232,-0.5915
solidity_L1,3,interm_26,-0.5862
solidity_L1,4,interm_122,-0.5815
solidity_L1,5,interm_139,-0.5809
solidity_L2,1,interm_61,0.9423
solidity_L2,2,interm_68,-0.9301
solidity_L2,3,interm_134,-0.9293
solidity_L2,4,interm_169,0.9157
solidity_L2,5,interm_244,-0.9138
solidity_L3,1,interm_65,0.7726
solidity_L3,2,interm_117,0.7387
solidity_L3,3,interm_13,0.7355
solidity_L3,4,interm_173,0.7337
solidity_L3,5,interm_164,0.7324
