Manual_Feature,R2_mean,R2_std,N
convexity_L2,0.8850962021156208,0.075285025866144,100
solidity_L2,0.8850962021156208,0.07528502586614394,100
circularity_L2,0.8571308179992293,0.10927611967141396,100
min_distance_L3,0.7685429993326955,0.18137250266601165,100
centroid_radius_L3,0.7675912490919344,0.15986852849566782,100
perimeter_L3,0.7645825976940829,0.16303195386363134,100
max_distance_L3,0.7627145199216654,0.14947107316544717,100
perimeter_L2,0.6891843039510107,0.22309899496670507,100
area_L3,0.6691746505379397,0.2553734873688004,100
min_distance_L2,0.5463994765683049,0.40191316572901525,100
centroid_radius_L2,0.536091196593054,0.39023806980948866,100
solidity_L3,0.4333077969040726,0.21940182619649534,100
convexity_L3,0.43330779690406745,0.21940182619650078,100
eccentricity_L1,0.3983126539226804,0.13134669394871223,100
circularity_L3,0.38187321475736,0.19202856433310417,100
max_distance_L2,0.37933665290730567,0.49908100639689973,100
convexity_L1,0.37737501671368107,0.17189764264330337,100
solidity_L1,0.37737501671368034,0.17189764264330362,100
Elongation_L1,0.31809065023485983,0.1630056078440519,100
eccentricity_L3,0.2891457391546366,0.14576843700436862,100
Elongation_L3,0.23989882425924086,0.17799132336445872,100
circularity_L1,0.2270619401500908,0.09196062599663801,100
curvature_L3,0.221019252712298,0.20644529234109482,100
centroid_radius_L1,0.1980107292611962,0.23999509146741108,100
perimeter_L1,0.18529552777858965,0.2879117889963095,100
curvature_L1,0.09036780257302182,0.1024868578491859,100
eccentricity_L2,0.04226545558353263,0.2150718721739754,100
Elongation_L2,-0.021017154595843256,0.29512053050850795,100
area_L2,-0.15291392574940782,0.5552890571125974,100
max_distance_L1,-0.16349860961889134,0.4364085087566897,100
curvature_L2,-0.21638982056360084,0.11103996450456563,100
area_L1,-0.28890726130633854,0.6770710495312411,100
min_distance_L1,-1.7115676766084786,2.0630788443178303,100
